play,yardage,median_deviation,mean_deviation,heuristic,algorithm,speed_coefficient
play1539-game2020110108.csv,3.799999999999997,10.965691952631172,10.965691952631172,optimal,pitch_control,optimal
play154-game2020112901.csv,18.35000000000001,2.2234471797439053,2.2234471797439053,optimal,pitch_control,optimal
play154-game2020122711.csv,12.880000000000003,4.1837064906611205,4.1837064906611205,optimal,pitch_control,optimal
play1545-game2020092713.csv,14.140000000000029,20.285551782268854,20.285551782268854,optimal,pitch_control,optimal
play1552-game2020122711.csv,0.6400000000000006,8.010218473924414,8.010218473924414,optimal,pitch_control,optimal
play1556-game2020091400.csv,0.9500000000000028,8.402094976849522,8.402094976849522,optimal,pitch_control,optimal
play1564-game2020112907.csv,13.449999999999989,6.216309194369277,6.216309194369277,optimal,pitch_control,optimal
play1566-game2020110110.csv,21.589999999999996,2.8125216048552972,2.8125216048552972,optimal,pitch_control,optimal
play1566-game2020122600.csv,12.969999999999999,11.397411986938085,11.397411986938085,optimal,pitch_control,optimal
play157-game2020112202.csv,6.539999999999978,13.673335318716981,13.673335318716981,optimal,pitch_control,optimal
play1575-game2020102513.csv,11.060000000000002,2.20614545707616,2.20614545707616,optimal,pitch_control,optimal
play1579-game2020101110.csv,5.709999999999994,20.053672980279696,20.053672980279696,optimal,pitch_control,optimal
play1586-game2021010300.csv,91.42999999999999,3.0477696763371087,3.0477696763371087,optimal,pitch_control,optimal
play1587-game2020100500.csv,10.969999999999999,1.7300650276795961,1.7300650276795961,optimal,pitch_control,optimal
play1589-game2020092007.csv,84.83,3.5414748967689285,3.5414748967689285,optimal,pitch_control,optimal
play1597-game2020091308.csv,7.469999999999999,30.313643792853412,30.313643792853412,optimal,pitch_control,optimal
play1598-game2020110102.csv,8.639999999999972,4.209642370663928,4.209642370663928,optimal,pitch_control,optimal
play1607-game2020112210.csv,8.09999999999998,1.526044269053512,1.526044269053512,optimal,pitch_control,optimal
play161-game2020112900.csv,6.449999999999989,10.960023095322383,10.960023095322383,optimal,pitch_control,optimal
play1612-game2020101813.csv,29.439999999999976,25.165975384443666,25.165975384443666,optimal,pitch_control,optimal
play1615-game2020092711.csv,12.690000000000012,6.842287629148603,6.842287629148603,optimal,pitch_control,optimal
play1620-game2020121900.csv,0.12000000000000455,6.78616239121935,6.78616239121935,optimal,pitch_control,optimal
play1621-game2020092003.csv,3.069999999999993,4.3428331766256,4.3428331766256,optimal,pitch_control,optimal
play1631-game2020122800.csv,5.75,5.60836082212183,5.60836082212183,optimal,pitch_control,optimal
play1633-game2020092707.csv,13.530000000000001,3.576074819003539,3.576074819003539,optimal,pitch_control,optimal
play1637-game2020120601.csv,10.650000000000006,6.686786306673118,6.686786306673118,optimal,pitch_control,optimal
play1639-game2020101109.csv,6.450000000000003,1.9231253498176137,1.9231253498176137,optimal,pitch_control,optimal
play1643-game2020091400.csv,11.339999999999996,8.833095594285037,8.833095594285037,optimal,pitch_control,optimal
