play,yardage,median_deviation,mean_deviation,heuristic,algorithm,speed_coefficient
play2767-game2020122010.csv,11.069999999999993,7.765738178873254,11.855129702484778,optimal,astar_delaunay,optimal
play2772-game2020091310.csv,14.929999999999993,5.592584375760459,8.374133018870657,optimal,astar_delaunay,optimal
play2781-game2021010311.csv,18.22,4.685712870482802,5.094443567558306,optimal,astar_delaunay,optimal
play2783-game2020091309.csv,22.210000000000022,6.577185788608917,8.164623168076643,optimal,astar_delaunay,optimal
play2793-game2020120605.csv,11.810000000000002,16.859088300697287,13.534305027285034,optimal,astar_delaunay,optimal
play2796-game2020121303.csv,1.6899999999999977,4.066682139753591,4.00384134921197,optimal,astar_delaunay,optimal
play2796-game2021010301.csv,9.159999999999997,9.33738445753441,10.517910117259659,optimal,astar_delaunay,optimal
play2797-game2020100406.csv,8.929999999999993,5.172945578022636,4.735385626207642,optimal,astar_delaunay,optimal
play2799-game2020112207.csv,2.6500000000000057,7.821311243201639,8.035410087930984,optimal,astar_delaunay,optimal
play280-game2021010305.csv,11.519999999999996,3.706050794267077,4.579301284888193,optimal,astar_delaunay,optimal
play2803-game2020092003.csv,17.060000000000002,2.4890504970820753,2.9803064944250446,optimal,astar_delaunay,optimal
play2812-game2020101105.csv,9.180000000000007,3.0242186359447802,3.4315839648283584,optimal,astar_delaunay,optimal
play2823-game2020111510.csv,-3.190000000000012,7.062304467807252,7.674000292667675,optimal,astar_delaunay,optimal
play283-game2020112904.csv,5.670000000000002,13.712411947354655,11.924217252099261,optimal,astar_delaunay,optimal
play2843-game2020121901.csv,20.64,7.468562168936604,9.018852682472662,optimal,astar_delaunay,optimal
play2857-game2020101101.csv,-3.019999999999996,9.022515186480796,9.69030106448578,optimal,astar_delaunay,optimal
play286-game2020110808.csv,-0.9099999999999966,,,optimal,astar_delaunay,optimal
play286-game2020120612.csv,-2.319999999999993,7.30204973466569,7.884941051537665,optimal,astar_delaunay,optimal
play2861-game2020110801.csv,5.659999999999997,9.759839087861437,9.589939964243971,optimal,astar_delaunay,optimal
play2861-game2020112903.csv,10.879999999999995,2.658777615380983,3.0818833408687136,optimal,astar_delaunay,optimal
play2868-game2020101108.csv,6.720000000000027,16.181074868772413,16.435787113481496,optimal,astar_delaunay,optimal
play2876-game2020121000.csv,-1.0700000000000074,11.30098886579596,12.115747632438191,optimal,astar_delaunay,optimal
play288-game2020121300.csv,89.75999999999999,2.2692951181356977,5.323257314978834,optimal,astar_delaunay,optimal
